puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id
,-,Callum Davies,Callum Davies,-,-,Comedia,every platformer ever,tt10370396
,-,Callum Davies,Callum Davies,A smartly dressed man tries to spoil Sonic Mania Plus.,-,Comedia,mania plus leaks,tt10372456
,-,Kor Wentemn,"['Régis Rodriguez', 'Kor Wentemn']",-,10,Comedia,de fil en aiguille,tt10375500
,-,Gayla Goehl,Gayla Goehl,"When Lily's two daughters share the same birthday but want to have completely separate birthday parties, Lily decides maybe just a little competition will make the two butting heads siblings, finally see eye to eye.",-,Comedia,just a little competition,tt10378538
,-,Will Nash,Laurence North,"Simon is searching for love in the city of London. Given he's Northern he didn't think it would be this hard, but London isn't that welcoming, and falling in love was never easy.",-,Comedia,there's this girl,tt10381246
,-,Caroline Iaffaldano,Caroline Iaffaldano,Three girls travel through time and space in hopes of escaping a deadly plague that has hit earth.,6,Comedia,girls in space,tt10378882
-,-,Yulia Larionova,Yulia Larionova,-,-,Comedia,roommate,tt10379948
,-,Richard Waters,Richard Waters,"Jealousy is a bad trait to have, but after an errant Djinn hears his wish, Jason is about to find out just how deadly it can really be.",1,Comedia,life's a wish and then you die,tt10384044
,-,Carlos Ignacio Trioni Bellone,Carlos Ignacio Trioni Bellone,-,10,Comedia,"anteojos, gafas, lentes",tt10382870
,-,"['Shay Mc', 'Cleavy']",Lydia Lane,"Longing for a taste of freedom, a teenager looks to purchase the car of her dreams.",5,Comedia,ticket to drive,tt10384696
,-,Carlos Seguro,-,-,6,Comedia,origins of the cookie monster,tt10384950
,-,Ruth Pickett,Ruth Pickett,-,-,Comedia,black and white bushido on nintendo switch,tt10385240
,-,Michael Merrell,Michael Merrell,A childish gift causes tension between two siblings.,2,Comedia,billy: a holiday,tt10388948
,-,Alexandre Prod'homme,Chris Hogstead,-,2,Comedia,pixelrama,tt10388972
-,-,Brandon Yap,"['Oliver Mc', 'Crea', 'Brandon Yap']","When the pizza isn't delivered on time, this rookie has to take matters into his own hands.",4,Comedia,pizza time,tt10186082
51,-,Sahra Shahshavari,-,-,-,Comedia,the promise,tt10392886
,-,Sarmad Masud,Omar Khan,-,21,Comedia,"love, sex and side effects",tt10400144
,-,Hae-Sup Sin,Hae-Sup Sin,"As a restaurant owner gets sick, the cook must step in and serve the only guest on that evening. However, communication problems lead to a misunderstanding until everything escalates.",-,Comedia,yori,tt10399824
,-,Iris Svis,Iris Svis,-,-,Comedia,cooking with flotus,tt10403112
,-,"['Jade Amory', 'Pierre Baroukh', 'Julie Constantin']",-,"Rahi, a little merchant, travels peacefully on the back of his large creature in the jungle. One day the creature meets for the first time a female of his own species. This marks the beginning of trouble for the two friends...",4,Comedia,silly beast,tt10407502
,-,Taylor Bakken,Taylor Bakken,-,-,Comedia,milk + lemons,tt10408482
18,-,Sarah A. Newton,Sarah A. Newton,-,3,Comedia,the tax collector,tt10404386
,-,-,Nicolette Minster,An elderly couple find themselves in hot water when pulled into an interrogation room on returning from their trip to Bali.,7,Comedia,hoarder control,tt10403870
,-,Tk Krupka,"['Tk Krupka', 'Tk Krupka']","An arrogant working actor of low budget horrors, hears about a recurring role as a homeless person on an Emmy nominated cop show, that he badly wants to land. His agent is against it, but challenges the actor that if he could show him that he could be homeless for seven days, he'll get him an audition.",34,Comedia,se7en dayz till payoff,tt10406384
,-,Philip Elins,-,-,22,Comedia,back to the feature,tt10409240
,-,Becky Roper,Alex Stark,-,13,Comedia,the search for bike man,tt10408840
,-,Anthony Breatnach,-,"It's 1940, and Irish vaudevillians are on a train to Monterrey, with Mr Hardy's new fiancée and her oppressed ward. When plans change, the darker side comes out.",14,Comedia,the monterrey express,tt10410084
,-,Cameron Taddeo,"['Michael Mizov', 'Cameron Taddeo']",-,-,Comedia,topato,tt10410844
,-,Caroline Bray,"['Clarissa Mullig', 'Caroline Bray', 'Dhruv Mehra']",-,10,Comedia,"love, scoop",tt10411040
100,-,William Kountz,"['Anthony Coletta', 'William Kountz']","Christopher, a bored and lonely teen, decides to throw a party to spice up his life, but there's more to this party than what he initially anticipated.",6,Comedia,a night to remember,tt10414836
,-,Georgie Storm Waite,-,-,-,Comedia,outnumbered,tt10414598
10,-,David Louwsma,David Louwsma,"After a fatal car crash, three party-goers must discover what's holding them back from crossing over to the afterlife.",12,Comedia,unfinished business,tt10415512
,-,Camilo Toro Garcia,-,"Evelio is a widowed man who seeks, through a radio show, a companion for his last days of life.",15,Comedia,come with me,tt10417854
,-,Alina Abramova,-,-,-,Comedia,if the impressionists had been dentists,tt10426912
,-,Satish More,-,-,4,Comedia,google assistant knows everything about your life,tt10432014
,-,Cat Ce,"['Cat Ce', 'Wesley Scott']","Amanda wants to move her Social Media career forward with a Manager, who plans her an ""epic"" party that happens to be...fake. While Amanda plays along, her plans continue to fall apart, along with her facade.",-,Comedia,fake,tt10432034
61,6.8,Dave Lojek,Anthony Straeger,"Some stains cannot be removed from carpets. Two women try to figure out, how to solve a delicate problem, while the clock is ticking. Alexandra and Timofeya have a serious problem. A woman lies dead on the living room floor. When they discover that it is Eva, the wife of mafia boss Sveta Kalashnikova, and that Alexandra has been having an affair with her, the possibil... Leer todo",4,Comedia,the last supper,tt10601490
,-,Jordan Elizabeth Geller,-,"The story of one woman's struggle to be the top executive of the oldest profession in the biggest city. The city that never sleeps,",15,Comedia,legit,tt10436502
,-,Han Hao,-,-,3,Comedia,girls only,tt10438254
,-,Luke Hale Bird,Luke Hale Bird,A surreal comedy about the chaos surrounding masculinity and consumerism.,-,Comedia,strong men do lie,tt10440452
,-,Ihila Lesnikova,-,-,-,Comedia,ihila's ski tutorial,tt10447048
,-,Julian Wolf,Julian Wolf,"""Meli Melo"" paints a portrait of a mixed group of young friends in the big city. Stuck in a daily routine of hanging out, they talk more about their future than they actually work for it. Each individual struggles with a search for identity, ambitions and a place in this modern society.",19,Comedia,the mish mash,tt10446748
,-,Ihila Lesnikova,Ihila Lesnikova,-,-,Comedia,you're dead. continue?,tt10447190
,-,Ihila Lesnikova,Ihila Lesnikova,-,-,Comedia,telepathyvr,tt10447262
,-,Steffen Hauglum,Steffen Hauglum,"Of course I would help someone in need. It's the right thing to do. Maybe you would look the other way, but not me. That's not the type of person I am. Everybody deserves kindness, and if you don't think so then you are literally trash.",11,Comedia,refuse,tt10455806
,-,Steffen Anton,Steffen Anton,-,-,Comedia,robbers point,tt10455274
,-,Cristo Borrachero,Cristo Borrachero,"Blå, a ""leftie"" politician, connects with a woman on an app. The are both in ""the closet"" and don't know much about each other. They decide to meet. When Blå comes to Rødt's apartment, Rødt recognizes her right away. Blå is a controversial politician from an opposing party. They are both taken by surprise by the encounter, and their meeting doesn't seem to go so well.... Leer todo",9,Comedia,blå crush,tt10459256
,-,Eric J. Liddle,Eric J. Liddle,"Facing a problematic creative block, Harrison embarks on a journey to Glen Coe with his best friend in order to reignite his artistic imagination. Mister Swolo is a Scottish short film which tackles comedy through surrealist cinema. Just how real is your imagination?",11,Comedia,mister swolo,tt10458514
,-,Caitlin Lynch,Georgia Rippin,"Drunkorex is an LGBT teen love-story about a girl who turns into a dinosaur when drunk. Drunkorex follows Ruben falling in love, out of bed and into an intoxicated monster in a desperate attempt to gain respect.",10,Comedia,drunkorex,tt10463382
,-,Mike Mazzilli,Mike Mazzilli,-,-,Comedia,...something,tt10467266
,-,Talib Iqbal,"['Atif Mohammad Aziz', 'Jay Mewada']",-,-,Comedia,atisundar,tt10471346
,-,Mike L. Taylor,"['Jim Martin', 'Mike L. Taylor']","Writer, Producer, Director and Star......of your favorite Action, Comedy and Drama films throughout the 80's and into the early 90s. Let's just say that Don Damage is the sole cinematic mastermind responsible for the movies that defined your generation.",14,Comedia,collateral damage: the complete don damage collection vols. 1-12,tt10472522
,-,Gregory Elek,"['Gregory Elek', 'Matthew Kearney', 'Josh Parschauer']",A desperate man goes to extreme lengths to try to get his lover back.,3,Comedia,the potion,tt10471616
,8.5,Nida Manzoor,Nida Manzoor,"Amina is a nervous young Muslim woman who recently stopped playing the guitar. In her pursuit of a man, she needs the help of Lady Parts, a female Muslim punk trio in need of a lead guitarist.",14,Comedia,lady parts,tt10471724
,-,Lu Stearns,Nicole Ramsey,-,3,Comedia,tinder,tt10472352
,6.0,Doron Max Hagay,John Reynolds,-,5,Comedia,women are mean,tt10472278
,-,Artima Sakulkoo,-,"The introvert Ray- the owner of a photo studio gradually attracted to photos Lunar, his new customer when she demanded her family old photos to be developed. Ray has found something special in his heart with Lunar and covers his inner feeling by interacting with her photo.",10,Comedia,the introvert,tt10478650
,-,Alyssa Carroll,"['Mara Shuster-Lefkowitz', 'Andi Yuma']","A trail of glitter and bunnies sparks an unlikely friendship between Willow, a socially inept intellectual, and Babe, a failing it-girl.",-,Comedia,searching for sisterhood,tt10477846
-,-,Loren Lester,Therese Lentz,-,-,Comedia,house haunters,tt10477058
,-,Joshua Walquist,Joshua Walquist,"Sabrina the Amazing is the world's greatest teleporter, but with all her magic, can she make it to her show on time?",5,Comedia,sabrina the amazing,tt10482624
-,-,Joshua Walquist,Lily Clegg,There are vampires among us and not all of them are quite as they seem.,6,Comedia,under cover of night,tt10482562
,-,Jon Mikel Gutierrez,Jon Mikel Gutierrez,"It's the last night of the graduation trip. An excellent opportunity for a young boy to declare his love to Haizea, the girl he likes. But he doesn't know how to do it. Or yes. Yes, he does. He knows too many ways to do it.",11,Comedia,haizea,tt10482744
,-,Laquita M. Scales,Laquita M. Scales,-,-,Comedia,moments: robbed,tt10484620
,-,Laquita M. Scales,Laquita M. Scales,-,-,Comedia,moments: toothbrush,tt10484846
,-,Everson Antunes,Everson Antunes,-,30,Comedia,o jacaré do papo amarelo,tt10487710
-,-,Lee Viesnik,Lee Viesnik,A couple find themselves in a bar at the end of an absolutely terrible evening. The woman knows more about the man's past than he thinks and all is revealed in the course of the film.,5,Comedia,time's up,tt10491328
,-,Ziyang Liu,Ziyang Liu,A meeting between Sam and Elise.,5,Comedia,the day i met you,tt10492856
,-,Alejandro Gonzalez-Caro,Alejandro Gonzalez-Caro,Cosmo develops peculiar methods of coping with his new found loneliness.,9,Comedia,withdrawal symptoms,tt10497126
,-,Caleb Linder,Caleb Linder,"A brief glimpse into the life of Bradley, a college student struggling with alcohol dependence.",5,Comedia,opening up,tt10499534
100,-,Dylan J. Scott,Dylan J. Scott,-,27,Comedia,freakazoid,tt10497448
-,-,Roman Cook,Roman Cook,-,8,Comedia,squad goals,tt10500186
,-,Radomir Jordanovic,Radomir Jordanovic,"Coop Shaw meets the kidnapper of his daughter from the previous movie. This time, the kidnapper's plan is to get money from Coop's other two daughters he has kidnapped.",11,Comedia,done tooken too: tookener,tt10498768
,-,Gershon Sng,Gershon Sng,-,-,Comedia,superman will not return,tt10499110
,-,Elliot C. Rosen,-,-,1,Comedia,ninja roll,tt10498674
,-,Doki Qerimi,"['Pashtrik Brahaj', 'Doki Qerimi']","""The struggle of an old couple finding the best solution to pay their bike repair shops rent.""",8,Comedia,rroota,tt10504202
,-,Alex Scheinman,-,-,-,Comedia,the young professionals: morning routine,tt10504996
,-,Alex Scheinman,-,-,-,Comedia,jared and ivanka: making america great again,tt10504926
,-,Alex Scheinman,-,-,-,Comedia,conversion therapy,tt10504952
,-,Peter Chiviyski,Velina Tsvetanova,Lora decided to follow her husband after she finds a woman's hair on his sock.,11,Comedia,theory of a happy marriage,tt10510944
,-,Veronica White,"['Quinn Strand', 'Veronica White']",-,-,Comedia,jack ohh lantern,tt10508848
,-,"['Niccolò Gentili', 'Ignacio Paurici']","['Niccolò Gentili', 'Ignacio Paurici', 'Severino Iuliano']",-,15,Comedia,non è una bufala,tt10510704
-,-,Jason Avezzano,Jason Avezzano,-,-,Comedia,best friend,tt10515068
,-,-,-,Reparto principal,-,Comedia,small medium,tt10513736
,-,Kevin J Nelson,Kevin J Nelson,"Two duded make an eventful-plot to get their suave neighbor to teach them the art of ""getting women""...so they think.",-,Comedia,dude next door,tt10519690
,-,Pablo Silva Glez,Juan Trueba,-,-,Comedia,todas tus cosas,tt10521416
,-,Rubén Tejerina,Rubén Tejerina,-,-,Comedia,el jarrón,tt10521406
,6.0,Raphaël Massicotte,Raphaël Massicotte,"-A Daddy, a Twink, a Bear and a Hunk flirting in a suburban neighborhood near Montreal (in Canada)",7,Comedia,l'appétit des garçons,tt10522594
,8.8,Don Thacker,Don Thacker,"Game publisher Devolver Digital's E3 2018 presentation continues the plot line of Nina Struthers, as a pastiche and parody of game conference presentations.",21,Comedia,devolver digital - big fancy press conference 2018,tt10520820
24,-,Max Kimble,Max Kimble,-,-,Comedia,blind date,tt10524766
,-,Mert Ipek,"['Mert Ipek', 'Umut Kahya', 'Ceyhun Yilmaz Ket']",-,-,Comedia,garip sorgu/strange query,tt10529774
,-,Vicki Syal,Vicki Syal,"In the not so distant future, women's-rights are doled out by American politicians, but first they are subjected to the worst kind of automated hot-lines.",-,Comedia,misconception hotline,tt10529778
,-,John Tennek,John Tennek,-,-,Comedia,bbq,tt10524832
,-,Gary Stocker,"['Gary Stocker', 'Paul Stocker']",A Film crew was allowed to film one day in the working life of a haulage company.,35,Comedia,traffic!,tt10529622
,-,Shawn Q. Shepherd,Jon D'Acunto,"See a different side of Michael Myers, a subtle comedic spoof of the legend himself. Everyone has a bad day now and then - his involves losing his favorite knife.",7,Comedia,worst halloween ever,tt10533038
-,-,Ryan O'Halloran,Ben Robertson-Kay,"Nobody Nose follows the character Gary Smith, a senior perfumer who has lost his sense of smell. No longer able to work, and with a wife who can't quite sympathise with him, Gary tries living a life without scent.",13,Comedia,nobody nose,tt10534840
